temperatura,data,hora
19.232499999999998,2016-09-27,12:15:00
19.22,2016-09-27,13:15:00
19.21,2016-09-27,14:15:00
19.1925,2016-09-27,15:15:00
19.185000000000002,2016-09-27,16:15:00
19.18,2016-09-27,17:15:00
19.192500000000003,2016-09-27,18:15:00
19.2225,2016-09-27,19:15:00
19.232499999999998,2016-09-27,20:15:00
19.25,2016-09-27,21:15:00
19.25,2016-09-27,22:15:00
19.257500000000004,2016-09-27,23:15:00
19.2725,2016-09-28,00:15:00
19.285,2016-09-28,01:15:00
19.29,2016-09-28,02:15:00
19.3,2016-09-28,03:15:00
19.3,2016-09-28,04:15:00
19.294999999999998,2016-09-28,05:15:00
19.305,2016-09-28,06:15:00
19.307499999999997,2016-09-28,07:15:00
19.2875,2016-09-28,08:15:00
19.267500000000002,2016-09-28,09:15:00
19.2575,2016-09-28,10:15:00
19.242499999999996,2016-09-28,11:15:00
19.2225,2016-09-28,12:15:00
19.2075,2016-09-28,13:15:00
19.1825,2016-09-28,14:15:00
19.17,2016-09-28,15:15:00
19.155,2016-09-28,16:15:00
19.1525,2016-09-28,17:15:00
19.16,2016-09-28,18:15:00
19.185000000000002,2016-09-28,19:15:00
19.21,2016-09-28,20:15:00
19.21,2016-09-28,21:15:00
19.227500000000003,2016-09-28,22:15:00
19.23,2016-09-28,23:15:00
19.235,2016-09-29,00:15:00
19.2425,2016-09-29,01:15:00
19.2475,2016-09-29,02:15:00
19.25,2016-09-29,03:15:00
19.26,2016-09-29,04:15:00
19.2575,2016-09-29,05:15:00
19.257500000000004,2016-09-29,06:15:00
19.25,2016-09-29,07:15:00
19.229999999999997,2016-09-29,08:15:00
19.2025,2016-09-29,09:15:00
19.1825,2016-09-29,10:15:00
19.159999999999997,2016-09-29,11:15:00
19.15,2016-09-29,12:15:00
19.145,2016-09-29,13:15:00
19.125,2016-09-29,14:15:00
19.115000000000002,2016-09-29,15:15:00
19.11,2016-09-29,16:15:00
19.1125,2016-09-29,17:15:00
19.13,2016-09-29,18:15:00
19.15,2016-09-29,19:15:00
19.17,2016-09-29,20:15:00
19.1825,2016-09-29,21:15:00
19.2075,2016-09-29,22:15:00
19.21,2016-09-29,23:15:00
19.2275,2016-09-30,00:15:00
19.2475,2016-09-30,01:15:00
19.26,2016-09-30,02:15:00
19.275,2016-09-30,03:15:00
19.285,2016-09-30,04:15:00
19.3,2016-09-30,05:15:00
19.3,2016-09-30,06:15:00
19.3025,2016-09-30,07:15:00
19.2925,2016-09-30,08:15:00
19.2775,2016-09-30,09:15:00
19.267500000000002,2016-09-30,10:15:00
19.2525,2016-09-30,11:15:00
19.232499999999998,2016-09-30,12:15:00
19.2175,2016-09-30,13:15:00
19.21,2016-09-30,14:15:00
19.1925,2016-09-30,15:15:00
19.1825,2016-09-30,16:15:00
19.1825,2016-09-30,17:15:00
19.1875,2016-09-30,18:15:00
19.205,2016-09-30,19:15:00
19.2175,2016-09-30,20:15:00
19.23,2016-09-30,21:15:00
19.232499999999998,2016-09-30,22:15:00
19.25,2016-09-30,23:15:00
19.26,2016-10-01,00:15:00
19.27,2016-10-01,01:15:00
19.275,2016-10-01,02:15:00
19.2925,2016-10-01,03:15:00
19.3,2016-10-01,04:15:00
19.310000000000002,2016-10-01,05:15:00
19.32,2016-10-01,06:15:00
19.3125,2016-10-01,07:15:00
19.305,2016-10-01,08:15:00
19.2925,2016-10-01,09:15:00
19.27,2016-10-01,10:15:00
19.267500000000002,2016-10-01,11:15:00
19.2525,2016-10-01,12:15:00
19.24,2016-10-01,13:15:00
19.2225,2016-10-01,14:15:00
19.2125,2016-10-01,15:15:00
19.2,2016-10-01,16:15:00
19.205000000000002,2016-10-01,17:15:00
19.21,2016-10-01,18:15:00
19.23,2016-10-01,19:15:00
19.24,2016-10-01,20:15:00
19.244999999999997,2016-10-01,21:15:00
19.265,2016-10-01,22:15:00
19.28,2016-10-01,23:15:00
19.294999999999998,2016-10-02,00:15:00
19.31,2016-10-02,01:15:00
19.3125,2016-10-02,02:15:00
19.325,2016-10-02,03:15:00
19.33,2016-10-02,04:15:00
19.33,2016-10-02,05:15:00
19.33,2016-10-02,06:15:00
19.325,2016-10-02,07:15:00
19.305,2016-10-02,08:15:00
19.2925,2016-10-02,09:15:00
19.285,2016-10-02,10:15:00
19.2725,2016-10-02,11:15:00
19.2525,2016-10-02,12:15:00
19.2375,2016-10-02,13:15:00
19.22,2016-10-02,14:15:00
19.2025,2016-10-02,15:15:00
19.2,2016-10-02,16:15:00
19.1975,2016-10-02,17:15:00
19.2025,2016-10-02,18:15:00
19.2275,2016-10-02,19:15:00
19.2425,2016-10-02,20:15:00
19.255000000000003,2016-10-02,21:15:00
